Baton_Rouge,LA,METRO,30.44,-91.13,789638
Mankato,MN,LOCAL,44.17,-93.98,42685
Cabot,AR,LOCAL,34.98,-92.03,26376
Middletown,CT,LOCAL,41.55,-72.65,46406
Hinesville,GA,LOCAL,31.82,-81.61,43069
Lafayette,IN,LOCAL,40.40,-86.86,217832
Hermiston,OR,LOCAL,45.83,-119.29,48456
Fort_Wayne,IN,LOCAL,41.09,-85.14,352328
Fort_Smith,AR,LOCAL,35.35,-94.37,134698
Greenville,SC,METRO,34.84,-82.36,823679
Visalia,CA,LOCAL,36.33,-119.33,451664
Phenix_City,AL,LOCAL,32.46,-85.03,36461
Sioux_Falls,SD,LOCAL,43.54,-96.73,183951
Kankakee,IL,LOCAL,41.10,-87.86,125575
Lufkin,TX,LOCAL,31.32,-94.73,35336
Waukesha,WI,LOCAL,43.01,-88.25,266342
Watertown,NY,LOCAL,43.97,-75.91,38258
Deltona,FL,LOCAL,28.91,-81.21,840597
Oak_Ridge,TN,LOCAL,35.96,-84.29,39130
Enid,OK,LOCAL,36.41,-97.87,50116
Augusta,GA,METRO,33.36,-82.07,492257
New_York,NY,METRO,40.69,-73.92,30626085
Palm_Bay,FL,METRO,27.96,-80.66,854179
Medford,OR,LOCAL,42.34,-122.85,236821
San_Angelo,TX,LOCAL,31.44,-100.45,97481
Dallas,TX,METRO,32.79,-96.77,7448605
Garden_City,KS,LOCAL,37.98,-100.85,26403
Tucson,AZ,METRO,32.15,-110.88,1287240
Key_West,FL,LOCAL,24.56,-81.78,42911
Florida,PR,LOCAL,18.36,-66.56,69427
DeKalb,IL,LOCAL,41.93,-88.75,91965
Marion,IL,LOCAL,37.73,-88.94,30345
Juneau,AK,LOCAL,58.45,-134.17,32099
Casper,WY,LOCAL,42.84,-106.32,63962
Bel_Air_South,MD,LOCAL,39.50,-76.31,340303
Spring_Hill,TN,LOCAL,35.74,-86.91,81312
New_Bern,NC,LOCAL,35.10,-77.07,49912
Round_Rock,TX,LOCAL,30.53,-97.66,404738
Elko,NV,LOCAL,40.84,-115.77,34906
Wilmington,NC,LOCAL,34.21,-77.89,343646
Flint,MI,LOCAL,43.02,-83.69,404189
Dover,DE,LOCAL,39.16,-75.52,137625
Pinehurst,NC,LOCAL,35.19,-79.47,38591
Brunswick,OH,LOCAL,41.25,-81.82,84717
New_Iberia,LA,LOCAL,30.00,-91.82,28965
Spokane,WA,METRO,47.67,-117.43,564840
Walla_Walla,WA,LOCAL,46.07,-118.34,42262
Brentwood,NY,LOCAL,40.78,-73.25,2318330
Billings,MT,LOCAL,45.79,-108.55,131596
Concord,CA,METRO,37.97,-122.00,1794627
Greenville,TX,LOCAL,33.11,-96.11,37561
Athens,GA,LOCAL,33.95,-83.37,143081
Concord,NH,LOCAL,43.23,-71.56,52198
Madera,CA,LOCAL,36.96,-120.08,108651
California,MD,LOCAL,38.30,-76.49,34355
Kalamazoo,MI,LOCAL,42.27,-85.59,279032
Myrtle_Beach,SC,LOCAL,33.71,-78.88,416671
Pocatello,ID,LOCAL,42.87,-112.46,89660
Denver,CO,METRO,39.76,-104.88,4324322
Houma,LA,LOCAL,29.58,-90.71,166972
Fargo,ND,LOCAL,46.87,-96.83,241878
Lexington,KY,LOCAL,38.04,-84.46,381654
Newport,RI,LOCAL,41.48,-71.32,35986
Joplin,MO,LOCAL,37.08,-94.50,115810
Zanesville,OH,LOCAL,39.96,-82.01,25246
Newnan,GA,LOCAL,33.38,-84.78,40227
Carlisle,PA,LOCAL,40.20,-77.20,43396
Gainesville,GA,LOCAL,34.29,-83.83,147403
Nampa,ID,LOCAL,43.58,-116.56,246626
Anchorage,AK,LOCAL,61.15,-149.11,248902
Muskogee,OK,LOCAL,35.74,-95.36,37337
Marysville,WA,LOCAL,48.08,-122.16,709551
Eden,NC,LOCAL,36.50,-79.74,28914
Chesapeake,VA,LOCAL,36.68,-76.30,242647
Dalton,GA,LOCAL,34.77,-84.97,87944
Franklin,TN,LOCAL,35.92,-86.85,141585
Clinton,IA,LOCAL,41.84,-90.24,25290
Superior,WI,LOCAL,46.69,-92.08,26260
Hobbs,NM,LOCAL,32.73,-103.16,49875
San_Francisco,CA,METRO,37.76,-122.44,5910380
Hanford,CA,LOCAL,36.33,-119.65,163193
Burlington,VT,LOCAL,44.49,-73.23,153122
Burleson,TX,LOCAL,32.52,-97.33,92237
Wilmington,DE,LOCAL,39.74,-75.54,241576
Williamsport,PA,LOCAL,41.24,-77.04,28437
Indianola,IA,LOCAL,41.36,-93.57,27388
Alexandria,LA,LOCAL,31.29,-92.47,90014
Hopatcong,NJ,LOCAL,40.95,-74.66,31311
Pittsburgh,PA,METRO,40.44,-79.98,2046499
Las_Cruces,NM,LOCAL,32.33,-106.79,176699
Mentor,OH,LOCAL,41.69,-81.34,167113
Quincy,IL,LOCAL,39.93,-91.38,40111
Huntington,WV,LOCAL,38.41,-82.43,205987
Michigan_City,IN,LOCAL,41.71,-86.87,87274
Providence,RI,METRO,41.82,-71.42,1576173
Meridian,MS,LOCAL,32.38,-88.69,37252
Wooster,OH,LOCAL,40.82,-81.93,41277
Albuquerque,NM,METRO,35.11,-106.65,932023
Centralia,WA,LOCAL,46.72,-122.97,25080
Hartford,CT,METRO,41.77,-72.68,1086099
Texarkana,AR,LOCAL,33.44,-94.00,29864
Roseburg,OR,LOCAL,43.22,-123.35,39446
Elkhart,IN,LOCAL,41.69,-85.96,196676
Yuba_City,CA,LOCAL,39.14,-121.64,124815
Asheville,NC,LOCAL,35.57,-82.55,327484
O'Fallon,MO,LOCAL,38.79,-90.72,286467
Bowling_Green,KY,LOCAL,36.97,-86.44,94555
Faribault,MN,LOCAL,44.30,-93.28,44252
Mason_City,IA,LOCAL,43.15,-93.20,34658
Kalispell,MT,LOCAL,48.22,-114.33,40383
Maryville,TN,LOCAL,35.75,-83.98,39134
Winchester,VA,LOCAL,39.17,-78.17,74593
Salina,KS,LOCAL,38.81,-97.61,46706
Columbia,SC,METRO,34.04,-80.90,685311
Yauco,PR,LOCAL,18.03,-66.86,80307
Lebanon,PA,LOCAL,40.34,-76.42,88161
Allentown,PA,METRO,40.60,-75.48,819497
Detroit,MI,METRO,42.38,-83.10,4954861
Rockford,IL,LOCAL,42.26,-89.06,352392
Marshalltown,IA,LOCAL,42.03,-92.91,26957
Pascagoula,MS,LOCAL,30.37,-88.55,88355
Riverside,CA,METRO,33.94,-117.39,4846767
Wausau,WI,LOCAL,44.96,-89.65,99046
Nashville,TN,METRO,36.17,-86.78,1081876
Wichita_Falls,TX,LOCAL,33.91,-98.53,111246
Valdosta,GA,LOCAL,30.85,-83.28,87579
Jacksonville,NC,LOCAL,34.73,-77.39,130583
Gillette,WY,LOCAL,44.28,-105.50,32513
St_Cloud,MN,LOCAL,45.53,-94.17,151745
Shawnee,OK,LOCAL,35.35,-96.96,38082
Manitowoc,WI,LOCAL,44.10,-87.68,43637
Little_Rock,AR,METRO,34.73,-92.36,590753
Monroe,GA,LOCAL,33.80,-83.72,26058
Winona,MN,LOCAL,44.05,-91.67,26772
Bossier_City,LA,LOCAL,32.52,-93.67,74905
Kingsville,TX,LOCAL,27.51,-97.86,25367
Texarkana,TX,LOCAL,33.45,-94.08,79304
Cookeville,TN,LOCAL,36.15,-85.51,33922
Rexburg,ID,LOCAL,43.82,-111.79,29064
Indianapolis,IN,METRO,39.78,-86.15,2192655
Reno,NV,METRO,39.55,-119.85,600305
South_Lyon,MI,LOCAL,42.46,-83.65,1211745
Santa_Cruz,CA,LOCAL,36.98,-122.03,316279
Eau_Claire,WI,LOCAL,44.82,-91.49,110966
Biddeford,ME,LOCAL,43.47,-70.45,62384
Kansas_City,MO,METRO,39.12,-94.55,2198187
Lincoln,NE,LOCAL,40.81,-96.68,280780
Florence,SC,LOCAL,34.18,-79.79,95271
Sierra_Vista,AZ,LOCAL,31.56,-110.32,76200
Las_Vegas,NV,METRO,36.23,-115.27,3706579
Edwards,CO,LOCAL,39.62,-106.62,30003
Oshkosh,WI,LOCAL,44.02,-88.56,138568
Torrington,CT,LOCAL,41.83,-73.13,50442
Amarillo,TX,LOCAL,35.20,-101.83,202902
Oswego,NY,LOCAL,43.45,-76.50,28580
Albany,OR,LOCAL,44.63,-123.10,93312
Brockton,MA,LOCAL,42.08,-71.02,103304
Douglasville,GA,LOCAL,33.74,-84.71,50580
Merced,CA,LOCAL,37.31,-120.48,263026
Altoona,PA,LOCAL,40.51,-78.40,73374
Petersburg,VA,LOCAL,37.20,-77.39,30791
Juana_Diaz,PR,LOCAL,18.05,-66.50,71759
Ogden,UT,METRO,41.23,-111.97,1094546
South_Bend,IN,LOCAL,41.68,-86.27,408892
Spring_Hill,FL,LOCAL,28.48,-82.53,181536
Middletown,NY,LOCAL,41.45,-74.42,107236
Crestview,FL,LOCAL,30.75,-86.58,109098
Jackson,MS,METRO,32.32,-90.21,515442
Fremont,NE,LOCAL,41.44,-96.49,26362
Braselton,GA,LOCAL,34.11,-83.81,30805
Miami,FL,METRO,25.78,-80.21,8069151
Pekin,IL,LOCAL,40.57,-89.63,87757
Tyler,TX,LOCAL,32.32,-95.31,152289
Warner_Robins,GA,LOCAL,32.60,-83.65,173227
Portland,TX,LOCAL,27.89,-97.33,27575
Stevens_Point,WI,LOCAL,44.52,-89.55,39125
Moses_Lake,WA,LOCAL,47.13,-119.28,39338
Charlotte,NC,METRO,35.21,-80.83,1836349
Marion,IN,LOCAL,40.55,-85.66,27730
Rocky_Mount,NC,LOCAL,35.97,-77.80,61952
San_German,PR,LOCAL,18.08,-67.05,103747
Fort_Collins,CO,LOCAL,40.55,-105.07,410160
Atlanta,GA,METRO,33.76,-84.42,6482016
Joliet,IL,LOCAL,41.52,-88.15,506140
Twin_Falls,ID,LOCAL,42.56,-114.46,49819
Poughkeepsie,NY,METRO,41.69,-73.92,446728
Sandusky,OH,LOCAL,41.45,-82.70,31567
Harrisburg,PA,METRO,40.28,-76.88,523066
Paragould,AR,LOCAL,36.06,-90.51,28821
Louisville,KY,METRO,38.17,-85.65,1122565
Waxahachie,TX,LOCAL,32.40,-96.84,101195
Statesboro,GA,LOCAL,32.44,-81.78,32115
Des_Moines,IA,METRO,41.57,-93.61,813297
State_College,PA,LOCAL,40.79,-77.86,98018
Blacksburg,VA,LOCAL,37.23,-80.43,116880
Nacogdoches,TX,LOCAL,31.61,-94.65,32912
Lafayette,LA,LOCAL,30.21,-92.03,308078
Raleigh,NC,METRO,35.83,-78.64,1498654
New_Orleans,LA,METRO,30.07,-89.93,957783
Austin,TX,METRO,30.30,-97.75,1827859
Lawrence,KS,LOCAL,38.96,-95.26,103245
Great_Falls,MT,LOCAL,47.50,-111.30,62112
Santa_Fe,NM,LOCAL,35.66,-105.98,95498
San_Marcos,TX,LOCAL,29.87,-97.94,133176
Fayetteville,AR,METRO,36.07,-94.17,438594
New_Braunfels,TX,LOCAL,29.70,-98.11,110960
Portland,OR,METRO,45.54,-122.65,3382637
Newark,OH,LOCAL,40.07,-82.43,105045
Owensboro,KY,LOCAL,37.76,-87.12,73115
Greenville,MS,LOCAL,33.38,-91.05,29854
Concord,NC,LOCAL,35.39,-80.64,302487
Tiffin,OH,LOCAL,41.12,-83.18,30666
Phoenix,AZ,METRO,33.57,-112.09,6890782
Ocala,FL,LOCAL,29.18,-82.15,250449
Easton,PA,LOCAL,40.69,-75.22,51842
Sioux_City,IA,LOCAL,42.50,-96.39,107932
Metairie,LA,LOCAL,30.00,-90.18,463793
Elgin,TX,LOCAL,30.35,-97.39,25854
Peoria,IL,LOCAL,40.75,-89.62,253461
Aiken,SC,LOCAL,33.53,-81.73,54798
Bismarck,ND,LOCAL,46.81,-100.77,90420
Watertown,WI,LOCAL,43.19,-88.73,44027
Washington,DC,METRO,38.90,-77.02,5461716
Salem,VA,LOCAL,37.29,-80.06,25290
Carrollton,GA,LOCAL,33.58,-85.08,42660
Salinas,CA,LOCAL,36.69,-121.63,458531
Stillwater,OK,LOCAL,36.13,-97.07,57942
Weatherford,TX,LOCAL,32.75,-97.77,32110
Rogers,AR,LOCAL,36.32,-94.15,190485
Mansfield,OH,LOCAL,40.77,-82.53,82303
Norman,OK,LOCAL,35.23,-97.35,181215
Pensacola,FL,METRO,30.44,-87.19,526765
Morristown,TN,LOCAL,36.20,-83.30,29887
Bangor,ME,LOCAL,44.83,-68.79,48508
Salisbury,MD,LOCAL,38.38,-75.59,108982
Canton,OH,LOCAL,40.81,-81.37,373962
Battle_Creek,MI,LOCAL,42.30,-85.23,90935
Forney,TX,LOCAL,32.74,-96.45,50030
Champaign,IL,LOCAL,40.11,-88.27,226037
Hagerstown,MD,LOCAL,39.64,-77.72,212888
Charleston,IL,LOCAL,39.48,-88.18,37414
Kearney,NE,LOCAL,40.70,-99.08,33783
Springfield,MA,METRO,42.12,-72.54,752378
Yulee,FL,LOCAL,30.64,-81.57,25968
Murfreesboro,TN,LOCAL,35.85,-86.41,255619
Blaine,MN,LOCAL,45.17,-93.21,327052
Vallejo,CA,LOCAL,38.11,-122.23,611452
Williamsburg,VA,LOCAL,37.27,-76.71,83021
Pell_City,AL,LOCAL,33.56,-86.27,27085
Klamath_Falls,OR,LOCAL,42.22,-121.78,40491
Russellville,AR,LOCAL,35.28,-93.14,29227
Lake_Charles,LA,LOCAL,30.20,-93.21,183972
St_Augustine,FL,LOCAL,29.90,-81.31,184643
Morgantown,WV,LOCAL,39.64,-79.95,86752
Denton,TX,METRO,33.22,-97.14,806709
Mobile,AL,LOCAL,30.68,-88.12,487772
Clovis,NM,LOCAL,34.44,-103.19,38701
Centreville,VA,LOCAL,38.84,-77.44,1492898
Zephyrhills,FL,LOCAL,28.24,-82.18,358941
Grand_Forks,ND,LOCAL,47.92,-97.09,63767
Big_Spring,TX,LOCAL,32.24,-101.48,27878
Salem,OR,LOCAL,44.92,-123.02,423493
Leesburg,FL,LOCAL,28.77,-81.90,295709
Rock_Hill,SC,LOCAL,34.94,-81.02,169878
Gainesville,FL,LOCAL,29.68,-82.35,213432
Golden_Gate,FL,LOCAL,26.18,-81.70,111099
Sugar_Land,TX,LOCAL,29.59,-95.64,383300
Pullman,WA,LOCAL,46.73,-117.17,33974
Milford,DE,LOCAL,38.91,-75.42,26796
Cape_Coral,FL,METRO,26.64,-82.00,1379420
Morris,IL,LOCAL,41.37,-88.43,25489
Lewiston,ME,LOCAL,44.09,-70.17,59425
Rochester,NY,METRO,43.17,-77.62,744601
Decatur,IL,LOCAL,39.86,-88.93,86604
Cumberland,MD,LOCAL,39.65,-78.76,28045
Bowie,MD,LOCAL,38.95,-76.74,751587
Delaware,OH,LOCAL,40.29,-83.07,55171
Ithaca,NY,LOCAL,42.44,-76.50,37218
Provo,UT,METRO,40.25,-111.65,1049422
Farmington,MO,LOCAL,37.78,-90.43,34341
Talladega,AL,LOCAL,33.43,-86.10,34342
Starkville,MS,LOCAL,33.46,-88.83,25495
Santa_Barbara,CA,LOCAL,34.43,-119.72,545020
Albany,GA,LOCAL,31.58,-84.18,89323
Anderson,SC,LOCAL,34.52,-82.65,103479
Murrysville,PA,LOCAL,40.45,-79.66,81788
Portsmouth,VA,LOCAL,36.85,-76.35,94961
Glens_Falls,NY,LOCAL,43.31,-73.65,83311
Woodstock,GA,LOCAL,34.10,-84.51,75451
Muncie,IN,LOCAL,40.20,-85.39,98165
Richmond,KY,LOCAL,37.73,-84.29,51517
Santa_Rosa,CA,LOCAL,38.45,-122.71,513775
Tupelo,MS,LOCAL,34.27,-88.73,38251
Portsmouth,NH,LOCAL,43.06,-70.78,97455
Racine,WI,LOCAL,42.73,-87.81,204386
Harrisonburg,VA,LOCAL,38.44,-78.87,74901
Kenosha,WI,LOCAL,42.59,-87.88,167981
Olympia,WA,LOCAL,47.04,-122.90,291348
Northampton,MA,LOCAL,42.33,-72.67,28552
Crystal_Lake,IL,LOCAL,42.23,-88.34,221955
Bremerton,WA,LOCAL,47.54,-122.71,305010
Niagara_Falls,NY,LOCAL,43.09,-79.01,107080
San_Diego,CA,METRO,32.83,-117.12,4868352
New_Brunswick,NJ,LOCAL,40.49,-74.44,605255
Midland,MI,LOCAL,43.62,-84.23,41922
Arnold,MO,LOCAL,38.43,-90.37,48247
Aberdeen,WA,LOCAL,46.98,-123.81,25141
Leavenworth,KS,LOCAL,39.32,-94.92,48084
Portage,IN,LOCAL,41.59,-87.18,84115
Pearland,TX,LOCAL,29.56,-95.32,280529
Claremore,OK,LOCAL,36.31,-95.61,26805
Laredo,TX,LOCAL,27.56,-99.49,262774
Bridgeport,CT,METRO,41.19,-73.20,1446829
Roanoke,VA,LOCAL,37.28,-79.96,216388
Jonesboro,AR,LOCAL,35.82,-90.68,73631
Elmira,NY,LOCAL,42.09,-76.81,63404
Middletown,OH,LOCAL,39.50,-84.37,259873
Spartanburg,SC,LOCAL,34.94,-81.93,233243
Sumter,SC,LOCAL,33.94,-80.39,77626
Aguadilla,PR,LOCAL,18.44,-67.15,260331
Ottawa,IL,LOCAL,41.36,-88.83,56869
San_Antonio,TX,METRO,29.46,-98.52,2235770
Bellingham,WA,LOCAL,48.75,-122.47,176268
Lawton,OK,LOCAL,34.62,-98.42,90487
Columbus,OH,METRO,39.99,-82.99,1919208
Mount_Vernon,WA,LOCAL,48.42,-122.31,106002
Chambersburg,PA,LOCAL,39.93,-77.66,31915
Trenton,NJ,LOCAL,40.22,-74.76,522638
Adrian,MI,LOCAL,41.90,-84.04,28911
Montgomery,AL,LOCAL,32.35,-86.27,263285
St_Petersburg,FL,LOCAL,27.79,-82.67,800077
West_Chester,PA,LOCAL,39.96,-75.61,64809
Eugene,OR,LOCAL,44.06,-123.12,373453
Cedar_Rapids,IA,LOCAL,41.97,-91.68,235923
Tullahoma,TN,LOCAL,35.37,-86.22,30878
Logan,UT,LOCAL,41.74,-111.84,152107
